,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.012578616352201259,0.0,DeepFool,0.0,0,adversarial,
1,0.017123287671232876,0.0,DeepFool,0.0,1,adversarial,
2,0.0,0.0,DeepFool,0.0,2,adversarial,
3,0.006578947368421052,0.0,DeepFool,0.0,3,adversarial,
4,0.003236245954692557,0.0,DeepFool,0.0,4,adversarial,
5,0.0,0.0,DeepFool,0.0,5,adversarial,
6,0.003355704697986577,0.0,DeepFool,0.0,6,adversarial,
7,0.022950819672131147,0.0,DeepFool,0.0,7,adversarial,
8,0.007352941176470588,0.0,DeepFool,0.0,8,adversarial,
9,0.01079136690647482,0.0,DeepFool,0.0,9,adversarial,
10,0.008333333333333333,0.0,DeepFool,0.0,10,adversarial,
