,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.421875,0.0,FGSM,0.01,0,adversarial,
1,0.0,0.0,FGSM,0.01,1,adversarial,
2,0.0,0.0,FGSM,0.01,2,adversarial,
3,0.0019880715705765406,0.0,FGSM,0.01,3,adversarial,
4,0.08316430020283976,0.0,FGSM,0.01,4,adversarial,
5,0.33984375,0.0,FGSM,0.01,5,adversarial,
6,0.6660117878192534,0.0,FGSM,0.01,6,adversarial,
7,0.05742574257425743,0.0,FGSM,0.01,7,adversarial,
8,0.2782258064516129,0.0,FGSM,0.01,8,adversarial,
9,0.44969199178644764,0.0,FGSM,0.01,9,adversarial,
10,0.2314,0.0,FGSM,0.01,10,adversarial,
11,0.365234375,0.0,FGSM,0.05,0,adversarial,
12,0.0,0.0,FGSM,0.05,1,adversarial,
13,0.0,0.0,FGSM,0.05,2,adversarial,
14,0.0019880715705765406,0.0,FGSM,0.05,3,adversarial,
15,0.06288032454361055,0.0,FGSM,0.05,4,adversarial,
16,0.294921875,0.0,FGSM,0.05,5,adversarial,
17,0.630648330058939,0.0,FGSM,0.05,6,adversarial,
18,0.04356435643564356,0.0,FGSM,0.05,7,adversarial,
19,0.22983870967741934,0.0,FGSM,0.05,8,adversarial,
20,0.41478439425051333,0.0,FGSM,0.05,9,adversarial,
21,0.2058,0.0,FGSM,0.05,10,adversarial,
22,0.318359375,0.0,FGSM,0.1,0,adversarial,
23,0.0,0.0,FGSM,0.1,1,adversarial,
24,0.0,0.0,FGSM,0.1,2,adversarial,
25,0.0,0.0,FGSM,0.1,3,adversarial,
26,0.05070993914807302,0.0,FGSM,0.1,4,adversarial,
27,0.26953125,0.0,FGSM,0.1,5,adversarial,
28,0.5795677799607073,0.0,FGSM,0.1,6,adversarial,
29,0.03564356435643564,0.0,FGSM,0.1,7,adversarial,
30,0.17943548387096775,0.0,FGSM,0.1,8,adversarial,
31,0.37166324435318276,0.0,FGSM,0.1,9,adversarial,
32,0.1818,0.0,FGSM,0.1,10,adversarial,
33,0.265625,0.0,FGSM,0.2,0,adversarial,
34,0.0,0.0,FGSM,0.2,1,adversarial,
35,0.0,0.0,FGSM,0.2,2,adversarial,
36,0.0,0.0,FGSM,0.2,3,adversarial,
37,0.02028397565922921,0.0,FGSM,0.2,4,adversarial,
38,0.2265625,0.0,FGSM,0.2,5,adversarial,
39,0.45972495088408644,0.0,FGSM,0.2,6,adversarial,
40,0.01782178217821782,0.0,FGSM,0.2,7,adversarial,
41,0.11491935483870967,0.0,FGSM,0.2,8,adversarial,
42,0.3203285420944558,0.0,FGSM,0.2,9,adversarial,
43,0.1436,0.0,FGSM,0.2,10,adversarial,
44,0.205078125,0.0,FGSM,0.3,0,adversarial,
45,0.0,0.0,FGSM,0.3,1,adversarial,
46,0.0,0.0,FGSM,0.3,2,adversarial,
47,0.0,0.0,FGSM,0.3,3,adversarial,
48,0.006085192697768763,0.0,FGSM,0.3,4,adversarial,
49,0.189453125,0.0,FGSM,0.3,5,adversarial,
50,0.3418467583497053,0.0,FGSM,0.3,6,adversarial,
51,0.009900990099009901,0.0,FGSM,0.3,7,adversarial,
52,0.09274193548387097,0.0,FGSM,0.3,8,adversarial,
53,0.2587268993839836,0.0,FGSM,0.3,9,adversarial,
54,0.1112,0.0,FGSM,0.3,10,adversarial,
55,0.181640625,0.0,FGSM,0.4,0,adversarial,
56,0.0,0.0,FGSM,0.4,1,adversarial,
57,0.0,0.0,FGSM,0.4,2,adversarial,
58,0.0,0.0,FGSM,0.4,3,adversarial,
59,0.004056795131845842,0.0,FGSM,0.4,4,adversarial,
60,0.177734375,0.0,FGSM,0.4,5,adversarial,
61,0.2593320235756385,0.0,FGSM,0.4,6,adversarial,
62,0.005940594059405941,0.0,FGSM,0.4,7,adversarial,
63,0.05040322580645161,0.0,FGSM,0.4,8,adversarial,
64,0.22176591375770022,0.0,FGSM,0.4,9,adversarial,
65,0.0908,0.0,FGSM,0.4,10,adversarial,
66,0.421875,0.0,BIM,0.01,0,adversarial,
67,0.0,0.0,BIM,0.01,1,adversarial,
68,0.0,0.0,BIM,0.01,2,adversarial,
69,0.0019880715705765406,0.0,BIM,0.01,3,adversarial,
70,0.08316430020283976,0.0,BIM,0.01,4,adversarial,
71,0.337890625,0.0,BIM,0.01,5,adversarial,
72,0.6660117878192534,0.0,BIM,0.01,6,adversarial,
73,0.05742574257425743,0.0,BIM,0.01,7,adversarial,
74,0.2782258064516129,0.0,BIM,0.01,8,adversarial,
75,0.44969199178644764,0.0,BIM,0.01,9,adversarial,
76,0.2312,0.0,BIM,0.01,10,adversarial,
77,0.361328125,0.0,BIM,0.05,0,adversarial,
78,0.0,0.0,BIM,0.05,1,adversarial,
79,0.0,0.0,BIM,0.05,2,adversarial,
80,0.0,0.0,BIM,0.05,3,adversarial,
81,0.06288032454361055,0.0,BIM,0.05,4,adversarial,
82,0.291015625,0.0,BIM,0.05,5,adversarial,
83,0.6286836935166994,0.0,BIM,0.05,6,adversarial,
84,0.04356435643564356,0.0,BIM,0.05,7,adversarial,
85,0.22983870967741934,0.0,BIM,0.05,8,adversarial,
86,0.406570841889117,0.0,BIM,0.05,9,adversarial,
87,0.2038,0.0,BIM,0.05,10,adversarial,
88,0.30859375,0.0,BIM,0.1,0,adversarial,
89,0.0,0.0,BIM,0.1,1,adversarial,
90,0.0,0.0,BIM,0.1,2,adversarial,
91,0.0,0.0,BIM,0.1,3,adversarial,
92,0.04462474645030426,0.0,BIM,0.1,4,adversarial,
93,0.255859375,0.0,BIM,0.1,5,adversarial,
94,0.5697445972495089,0.0,BIM,0.1,6,adversarial,
95,0.031683168316831684,0.0,BIM,0.1,7,adversarial,
96,0.17137096774193547,0.0,BIM,0.1,8,adversarial,
97,0.36344969199178645,0.0,BIM,0.1,9,adversarial,
98,0.1758,0.0,BIM,0.1,10,adversarial,
99,0.2265625,0.0,BIM,0.2,0,adversarial,
100,0.0,0.0,BIM,0.2,1,adversarial,
101,0.0,0.0,BIM,0.2,2,adversarial,
102,0.0,0.0,BIM,0.2,3,adversarial,
103,0.028397565922920892,0.0,BIM,0.2,4,adversarial,
104,0.1875,0.0,BIM,0.2,5,adversarial,
105,0.44204322200392926,0.0,BIM,0.2,6,adversarial,
106,0.01782178217821782,0.0,BIM,0.2,7,adversarial,
107,0.0967741935483871,0.0,BIM,0.2,8,adversarial,
108,0.2936344969199179,0.0,BIM,0.2,9,adversarial,
109,0.1302,0.0,BIM,0.2,10,adversarial,
110,0.17578125,0.0,BIM,0.3,0,adversarial,
111,0.0,0.0,BIM,0.3,1,adversarial,
112,0.0,0.0,BIM,0.3,2,adversarial,
113,0.0,0.0,BIM,0.3,3,adversarial,
114,0.010141987829614604,0.0,BIM,0.3,4,adversarial,
115,0.134765625,0.0,BIM,0.3,5,adversarial,
116,0.32612966601178783,0.0,BIM,0.3,6,adversarial,
