,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.4308176100628931,0.0,FGSM,0.0,0,adversarial,
1,0.2568493150684932,0.0,FGSM,0.0,1,adversarial,
2,0.04983388704318937,0.0,FGSM,0.0,2,adversarial,
3,0.01644736842105263,0.0,FGSM,0.0,3,adversarial,
4,0.08737864077669903,0.0,FGSM,0.0,4,adversarial,
5,0.4086687306501548,0.0,FGSM,0.0,5,adversarial,
6,0.738255033557047,0.0,FGSM,0.0,6,adversarial,
7,0.10819672131147541,0.0,FGSM,0.0,7,adversarial,
8,0.48161764705882354,0.0,FGSM,0.0,8,adversarial,
9,0.539568345323741,0.0,FGSM,0.0,9,adversarial,
10,0.30833333333333335,0.0,FGSM,0.0,10,adversarial,
11,0.4025157232704403,0.0,FGSM,0.025,0,adversarial,
12,0.2089041095890411,0.0,FGSM,0.025,1,adversarial,
13,0.026578073089700997,0.0,FGSM,0.025,2,adversarial,
14,0.013157894736842105,0.0,FGSM,0.025,3,adversarial,
15,0.08090614886731391,0.0,FGSM,0.025,4,adversarial,
16,0.3498452012383901,0.0,FGSM,0.025,5,adversarial,
17,0.7114093959731543,0.0,FGSM,0.025,6,adversarial,
18,0.08524590163934426,0.0,FGSM,0.025,7,adversarial,
19,0.45588235294117646,0.0,FGSM,0.025,8,adversarial,
20,0.5143884892086331,0.0,FGSM,0.025,9,adversarial,
21,0.2813333333333333,0.0,FGSM,0.025,10,adversarial,
22,0.3805031446540881,0.0,FGSM,0.05,0,adversarial,
23,0.17465753424657535,0.0,FGSM,0.05,1,adversarial,
24,0.023255813953488372,0.0,FGSM,0.05,2,adversarial,
25,0.006578947368421052,0.0,FGSM,0.05,3,adversarial,
26,0.0744336569579288,0.0,FGSM,0.05,4,adversarial,
27,0.30959752321981426,0.0,FGSM,0.05,5,adversarial,
28,0.6845637583892618,0.0,FGSM,0.05,6,adversarial,
29,0.06557377049180328,0.0,FGSM,0.05,7,adversarial,
30,0.40441176470588236,0.0,FGSM,0.05,8,adversarial,
31,0.48201438848920863,0.0,FGSM,0.05,9,adversarial,
32,0.25733333333333336,0.0,FGSM,0.05,10,adversarial,
33,0.36477987421383645,0.0,FGSM,0.07500000000000001,0,adversarial,
34,0.1541095890410959,0.0,FGSM,0.07500000000000001,1,adversarial,
35,0.016611295681063124,0.0,FGSM,0.07500000000000001,2,adversarial,
36,0.006578947368421052,0.0,FGSM,0.07500000000000001,3,adversarial,
37,0.06472491909385113,0.0,FGSM,0.07500000000000001,4,adversarial,
38,0.2724458204334365,0.0,FGSM,0.07500000000000001,5,adversarial,
39,0.6442953020134228,0.0,FGSM,0.07500000000000001,6,adversarial,
40,0.05901639344262295,0.0,FGSM,0.07500000000000001,7,adversarial,
41,0.3639705882352941,0.0,FGSM,0.07500000000000001,8,adversarial,
42,0.4316546762589928,0.0,FGSM,0.07500000000000001,9,adversarial,
43,0.235,0.0,FGSM,0.07500000000000001,10,adversarial,
44,0.33962264150943394,0.0,FGSM,0.1,0,adversarial,
45,0.1267123287671233,0.0,FGSM,0.1,1,adversarial,
46,0.016611295681063124,0.0,FGSM,0.1,2,adversarial,
47,0.003289473684210526,0.0,FGSM,0.1,3,adversarial,
