,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.9932960893854749,0.0,FGSM,0.01,0,adversarial,
1,0.9920713577799801,0.0,FGSM,0.01,1,adversarial,
2,0.9879912663755459,0.0,FGSM,0.01,2,adversarial,
3,0.9778516057585825,0.0,FGSM,0.01,3,adversarial,
4,0.9759174311926605,0.0,FGSM,0.01,4,adversarial,
5,0.9677018633540373,0.0,FGSM,0.01,5,adversarial,
6,0.9850746268656716,0.0,FGSM,0.01,6,adversarial,
7,0.9741657696447793,0.0,FGSM,0.01,7,adversarial,
8,0.9785310734463277,0.0,FGSM,0.01,8,adversarial,
9,0.9617486338797814,0.0,FGSM,0.01,9,adversarial,
10,0.9796666666666667,0.0,FGSM,0.01,10,adversarial,
11,0.9932960893854749,0.0,FGSM,0.05,0,adversarial,
12,0.9890981169474727,0.0,FGSM,0.05,1,adversarial,
13,0.9847161572052402,0.0,FGSM,0.05,2,adversarial,
14,0.9700996677740864,0.0,FGSM,0.05,3,adversarial,
15,0.9701834862385321,0.0,FGSM,0.05,4,adversarial,
16,0.9590062111801242,0.0,FGSM,0.05,5,adversarial,
17,0.9804822043628014,0.0,FGSM,0.05,6,adversarial,
18,0.9677072120559742,0.0,FGSM,0.05,7,adversarial,
19,0.9672316384180791,0.0,FGSM,0.05,8,adversarial,
20,0.9540983606557377,0.0,FGSM,0.05,9,adversarial,
21,0.9738888888888889,0.0,FGSM,0.05,10,adversarial,
22,0.9899441340782122,0.0,FGSM,0.1,0,adversarial,
23,0.9841427155599604,0.0,FGSM,0.1,1,adversarial,
24,0.9781659388646288,0.0,FGSM,0.1,2,adversarial,
25,0.9612403100775194,0.0,FGSM,0.1,3,adversarial,
26,0.9610091743119266,0.0,FGSM,0.1,4,adversarial,
27,0.9503105590062112,0.0,FGSM,0.1,5,adversarial,
28,0.9724454649827784,0.0,FGSM,0.1,6,adversarial,
29,0.9634015069967707,0.0,FGSM,0.1,7,adversarial,
30,0.9525423728813559,0.0,FGSM,0.1,8,adversarial,
31,0.9486338797814208,0.0,FGSM,0.1,9,adversarial,
32,0.9665555555555555,0.0,FGSM,0.1,10,adversarial,
33,0.9843575418994414,0.0,FGSM,0.2,0,adversarial,
34,0.9722497522299306,0.0,FGSM,0.2,1,adversarial,
35,0.9694323144104804,0.0,FGSM,0.2,2,adversarial,
36,0.9357696566998892,0.0,FGSM,0.2,3,adversarial,
37,0.944954128440367,0.0,FGSM,0.2,4,adversarial,
