,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.6222222222222222,0.0,CW,1,0,standard,
1,0.7870370370370371,0.0,CW,1,1,standard,
2,0.4563106796116505,0.0,CW,1,2,standard,
3,0.35,0.0,CW,1,3,standard,
4,0.5607476635514018,0.0,CW,1,4,standard,
5,0.41304347826086957,0.0,CW,1,5,standard,
6,0.3076923076923077,0.0,CW,1,6,standard,
7,0.5094339622641509,0.0,CW,1,7,standard,
8,0.0970873786407767,0.0,CW,1,8,standard,
9,0.20202020202020202,0.0,CW,1,9,standard,
10,0.43343343343343343,0.0,CW,1,10,standard,
