,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.9865921787709497,0.0,FGSM,0.01,0,adversarial,
1,0.9910802775024777,0.0,FGSM,0.01,1,adversarial,
2,0.9748908296943232,0.0,FGSM,0.01,2,adversarial,
3,0.9590254706533776,0.0,FGSM,0.01,3,adversarial,
4,0.9655963302752294,0.0,FGSM,0.01,4,adversarial,
5,0.9590062111801242,0.0,FGSM,0.01,5,adversarial,
6,0.9862227324913893,0.0,FGSM,0.01,6,adversarial,
7,0.9569429494079655,0.0,FGSM,0.01,7,adversarial,
8,0.9661016949152542,0.0,FGSM,0.01,8,adversarial,
9,0.9300546448087431,0.0,FGSM,0.01,9,adversarial,
10,0.9677777777777777,0.0,FGSM,0.01,10,adversarial,
11,0.9843575418994414,0.0,FGSM,0.05,0,adversarial,
12,0.9881070366699702,0.0,FGSM,0.05,1,adversarial,
13,0.9672489082969432,0.0,FGSM,0.05,2,adversarial,
14,0.9401993355481728,0.0,FGSM,0.05,3,adversarial,
15,0.9518348623853211,0.0,FGSM,0.05,4,adversarial,
16,0.937888198757764,0.0,FGSM,0.05,5,adversarial,
17,0.9827784156142365,0.0,FGSM,0.05,6,adversarial,
18,0.9429494079655544,0.0,FGSM,0.05,7,adversarial,
19,0.9468926553672317,0.0,FGSM,0.05,8,adversarial,
20,0.9103825136612022,0.0,FGSM,0.05,9,adversarial,
21,0.9556666666666667,0.0,FGSM,0.05,10,adversarial,
22,0.9687150837988827,0.0,FGSM,0.1,0,adversarial,
23,0.9861248761149654,0.0,FGSM,0.1,1,adversarial,
24,0.9454148471615721,0.0,FGSM,0.1,2,adversarial,
25,0.9080841638981174,0.0,FGSM,0.1,3,adversarial,
26,0.9288990825688074,0.0,FGSM,0.1,4,adversarial,
27,0.9093167701863354,0.0,FGSM,0.1,5,adversarial,
28,0.9781859931113662,0.0,FGSM,0.1,6,adversarial,
29,0.9214208826695371,0.0,FGSM,0.1,7,adversarial,
30,0.911864406779661,0.0,FGSM,0.1,8,adversarial,
31,0.8765027322404372,0.0,FGSM,0.1,9,adversarial,
32,0.9341111111111111,0.0,FGSM,0.1,10,adversarial,
33,0.9340782122905028,0.0,FGSM,0.2,0,adversarial,
34,0.9643211100099108,0.0,FGSM,0.2,1,adversarial,
35,0.8777292576419214,0.0,FGSM,0.2,2,adversarial,
36,0.805094130675526,0.0,FGSM,0.2,3,adversarial,
37,0.8646788990825688,0.0,FGSM,0.2,4,adversarial,
38,0.8260869565217391,0.0,FGSM,0.2,5,adversarial,
39,0.9552238805970149,0.0,FGSM,0.2,6,adversarial,
40,0.8729817007534983,0.0,FGSM,0.2,7,adversarial,
41,0.823728813559322,0.0,FGSM,0.2,8,adversarial,
42,0.7814207650273224,0.0,FGSM,0.2,9,adversarial,
43,0.8717777777777778,0.0,FGSM,0.2,10,adversarial,
44,0.8357541899441341,0.0,FGSM,0.3,0,adversarial,
45,0.8820614469772051,0.0,FGSM,0.3,1,adversarial,
46,0.7248908296943232,0.0,FGSM,0.3,2,adversarial,
47,0.5880398671096345,0.0,FGSM,0.3,3,adversarial,
48,0.7637614678899083,0.0,FGSM,0.3,4,adversarial,
49,0.6472049689440994,0.0,FGSM,0.3,5,adversarial,
50,0.8851894374282434,0.0,FGSM,0.3,6,adversarial,
51,0.7168998923573735,0.0,FGSM,0.3,7,adversarial,
52,0.6903954802259887,0.0,FGSM,0.3,8,adversarial,
53,0.5409836065573771,0.0,FGSM,0.3,9,adversarial,
54,0.7292222222222222,0.0,FGSM,0.3,10,adversarial,
55,0.5519553072625698,0.0,FGSM,0.4,0,adversarial,
56,0.031714568880079286,0.0,FGSM,0.4,1,adversarial,
57,0.3471615720524017,0.0,FGSM,0.4,2,adversarial,
58,0.07641196013289037,0.0,FGSM,0.4,3,adversarial,
59,0.2947247706422018,0.0,FGSM,0.4,4,adversarial,
60,0.10559006211180125,0.0,FGSM,0.4,5,adversarial,
61,0.3949483352468427,0.0,FGSM,0.4,6,adversarial,
62,0.04520990312163617,0.0,FGSM,0.4,7,adversarial,
