,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.011111111111111112,0.005,CW,1,0,boltzmann,0.01
1,0.037037037037037035,0.005,CW,1,1,boltzmann,0.01
2,0.019417475728155338,0.005,CW,1,2,boltzmann,0.01
3,0.0,0.005,CW,1,3,boltzmann,0.01
4,0.018691588785046728,0.005,CW,1,4,boltzmann,0.01
5,0.021739130434782608,0.005,CW,1,5,boltzmann,0.01
6,0.010869565217391304,0.005,CW,1,6,boltzmann,0.01
7,0.009433962264150943,0.005,CW,1,7,boltzmann,0.01
8,0.0,0.005,CW,1,8,boltzmann,0.01
9,0.010101010101010102,0.005,CW,1,9,boltzmann,0.01
10,0.014,0.005,CW,1,10,boltzmann,0.01
0,0.12222222222222222,0.1,CW,1,0,boltzmann,0.01
1,0.05555555555555555,0.1,CW,1,1,boltzmann,0.01
2,0.019417475728155338,0.1,CW,1,2,boltzmann,0.01
3,0.02,0.1,CW,1,3,boltzmann,0.01
4,0.028037383177570093,0.1,CW,1,4,boltzmann,0.01
5,0.05434782608695652,0.1,CW,1,5,boltzmann,0.01
6,0.043478260869565216,0.1,CW,1,6,boltzmann,0.01
7,0.009433962264150943,0.1,CW,1,7,boltzmann,0.01
8,0.0,0.1,CW,1,8,boltzmann,0.01
9,0.010101010101010102,0.1,CW,1,9,boltzmann,0.01
10,0.035,0.1,CW,1,10,boltzmann,0.01
0,0.13333333333333333,0.4,CW,1,0,boltzmann,0.01
1,0.05555555555555555,0.4,CW,1,1,boltzmann,0.01
2,0.05825242718446602,0.4,CW,1,2,boltzmann,0.01
3,0.06,0.4,CW,1,3,boltzmann,0.01
4,0.08411214953271028,0.4,CW,1,4,boltzmann,0.01
5,0.08695652173913043,0.4,CW,1,5,boltzmann,0.01
6,0.06521739130434782,0.4,CW,1,6,boltzmann,0.01
7,0.05660377358490566,0.4,CW,1,7,boltzmann,0.01
8,0.0,0.4,CW,1,8,boltzmann,0.01
9,0.0,0.4,CW,1,9,boltzmann,0.01
10,0.059,0.4,CW,1,10,boltzmann,0.01
0,0.03333333333333333,0.005,CW,1,0,second_best,
1,0.06481481481481481,0.005,CW,1,1,second_best,
2,0.009708737864077669,0.005,CW,1,2,second_best,
3,0.0,0.005,CW,1,3,second_best,
4,0.018691588785046728,0.005,CW,1,4,second_best,
5,0.021739130434782608,0.005,CW,1,5,second_best,
6,0.021739130434782608,0.005,CW,1,6,second_best,
7,0.0,0.005,CW,1,7,second_best,
8,0.0,0.005,CW,1,8,second_best,
9,0.0,0.005,CW,1,9,second_best,
10,0.017,0.005,CW,1,10,second_best,
0,0.12222222222222222,0.1,CW,1,0,second_best,
1,0.39814814814814814,0.1,CW,1,1,second_best,
2,0.009708737864077669,0.1,CW,1,2,second_best,
3,0.02,0.1,CW,1,3,second_best,
4,0.037383177570093455,0.1,CW,1,4,second_best,
5,0.03260869565217391,0.1,CW,1,5,second_best,
6,0.05434782608695652,0.1,CW,1,6,second_best,
7,0.009433962264150943,0.1,CW,1,7,second_best,
8,0.009708737864077669,0.1,CW,1,8,second_best,
9,0.0,0.1,CW,1,9,second_best,
10,0.071,0.1,CW,1,10,second_best,
0,0.0,0.4,CW,1,0,second_best,
1,0.037037037037037035,0.4,CW,1,1,second_best,
2,0.009708737864077669,0.4,CW,1,2,second_best,
3,0.0,0.4,CW,1,3,second_best,
4,0.0,0.4,CW,1,4,second_best,
5,0.0,0.4,CW,1,5,second_best,
6,0.021739130434782608,0.4,CW,1,6,second_best,
7,0.0,0.4,CW,1,7,second_best,
8,0.0,0.4,CW,1,8,second_best,
9,0.0,0.4,CW,1,9,second_best,
10,0.007,0.4,CW,1,10,second_best,
