,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.800711743772242,0.0,FGSM,0.01,0,adversarial,
1,0.9211870591097057,0.0,FGSM,0.01,1,adversarial,
2,0.8778897451096621,0.0,FGSM,0.01,2,adversarial,
3,0.7052994398965963,0.0,FGSM,0.01,3,adversarial,
4,0.8643315244203256,0.0,FGSM,0.01,4,adversarial,
5,0.7792140641158222,0.0,FGSM,0.01,5,adversarial,
6,0.7631578947368421,0.0,FGSM,0.01,6,adversarial,
7,0.776019476567255,0.0,FGSM,0.01,7,adversarial,
8,0.6458333333333334,0.0,FGSM,0.01,8,adversarial,
9,0.793265465935787,0.0,FGSM,0.01,9,adversarial,
10,0.8151388360593381,0.0,FGSM,0.01,10,adversarial,
11,0.5352313167259787,0.0,FGSM,0.05,0,adversarial,
12,0.7129652152760886,0.0,FGSM,0.05,1,adversarial,
13,0.6357439241256668,0.0,FGSM,0.05,2,adversarial,
14,0.41619991383024557,0.0,FGSM,0.05,3,adversarial,
15,0.6591021213616182,0.0,FGSM,0.05,4,adversarial,
16,0.48138572905894517,0.0,FGSM,0.05,5,adversarial,
17,0.4692982456140351,0.0,FGSM,0.05,6,adversarial,
18,0.49056603773584906,0.0,FGSM,0.05,7,adversarial,
19,0.28273809523809523,0.0,FGSM,0.05,8,adversarial,
20,0.49725920125293654,0.0,FGSM,0.05,9,adversarial,
21,0.5530144541650818,0.0,FGSM,0.05,10,adversarial,
22,0.26476868327402137,0.0,FGSM,0.1,0,adversarial,
23,0.37728046703964974,0.0,FGSM,0.1,1,adversarial,
24,0.38322465915826914,0.0,FGSM,0.1,2,adversarial,
25,0.2076691081430418,0.0,FGSM,0.1,3,adversarial,
26,0.3971386285150469,0.0,FGSM,0.1,4,adversarial,
27,0.22233712512926576,0.0,FGSM,0.1,5,adversarial,
28,0.20426065162907267,0.0,FGSM,0.1,6,adversarial,
29,0.2513694461351187,0.0,FGSM,0.1,7,adversarial,
30,0.08482142857142858,0.0,FGSM,0.1,8,adversarial,
31,0.2490211433046202,0.0,FGSM,0.1,9,adversarial,
32,0.2902244199315329,0.0,FGSM,0.1,10,adversarial,
33,0.06761565836298933,0.0,FGSM,0.2,0,adversarial,
34,0.07346144490391632,0.0,FGSM,0.2,1,adversarial,
35,0.1896858328393598,0.0,FGSM,0.2,2,adversarial,
36,0.07238259370960792,0.0,FGSM,0.2,3,adversarial,
37,0.10606808090774544,0.0,FGSM,0.2,4,adversarial,
38,0.06308169596690796,0.0,FGSM,0.2,5,adversarial,
39,0.044486215538847115,0.0,FGSM,0.2,6,adversarial,
40,0.05903834449178332,0.0,FGSM,0.2,7,adversarial,
41,0.012648809523809524,0.0,FGSM,0.2,8,adversarial,
42,0.058731401722787784,0.0,FGSM,0.2,9,adversarial,
43,0.08567896538607836,0.0,FGSM,0.2,10,adversarial,
44,0.025622775800711744,0.0,FGSM,0.3,0,adversarial,
45,0.028460228654828508,0.0,FGSM,0.3,1,adversarial,
46,0.1956135151155898,0.0,FGSM,0.3,2,adversarial,
47,0.07453683757001292,0.0,FGSM,0.3,3,adversarial,
48,0.0370004933399112,0.0,FGSM,0.3,4,adversarial,
49,0.06463288521199587,0.0,FGSM,0.3,5,adversarial,
50,0.02443609022556391,0.0,FGSM,0.3,6,adversarial,
51,0.016433353621424222,0.0,FGSM,0.3,7,adversarial,
52,0.009672619047619048,0.0,FGSM,0.3,8,adversarial,
53,0.028974158183241974,0.0,FGSM,0.3,9,adversarial,
54,0.06190566755420312,0.0,FGSM,0.3,10,adversarial,
55,0.023487544483985764,0.0,FGSM,0.4,0,adversarial,
56,0.031379226465580154,0.0,FGSM,0.4,1,adversarial,
57,0.26200355660936575,0.0,FGSM,0.4,2,adversarial,
58,0.11245152951314089,0.0,FGSM,0.4,3,adversarial,
59,0.03206709422792304,0.0,FGSM,0.4,4,adversarial,
60,0.10289555325749741,0.0,FGSM,0.4,5,adversarial,
61,0.041353383458646614,0.0,FGSM,0.4,6,adversarial,
62,0.023737066342057214,0.0,FGSM,0.4,7,adversarial,
63,0.028273809523809524,0.0,FGSM,0.4,8,adversarial,
64,0.05794831636648395,0.0,FGSM,0.4,9,adversarial,
65,0.08501331304678585,0.0,FGSM,0.4,10,adversarial,
66,0.8,0.0,BIM,0.01,0,adversarial,
67,0.9202140598394551,0.0,BIM,0.01,1,adversarial,
68,0.8761114404267931,0.0,BIM,0.01,2,adversarial,
69,0.7018526497199483,0.0,BIM,0.01,3,adversarial,
70,0.8633448445979279,0.0,BIM,0.01,4,adversarial,
71,0.7781799379524302,0.0,BIM,0.01,5,adversarial,
72,0.7600250626566416,0.0,BIM,0.01,6,adversarial,
73,0.7748021911138162,0.0,BIM,0.01,7,adversarial,
74,0.6436011904761905,0.0,BIM,0.01,8,adversarial,
75,0.7893500391542678,0.0,BIM,0.01,9,adversarial,
76,0.8133320654241156,0.0,BIM,0.01,10,adversarial,
77,0.48683274021352313,0.0,BIM,0.05,0,adversarial,
78,0.6375577718316712,0.0,BIM,0.05,1,adversarial,
79,0.5652045050385299,0.0,BIM,0.05,2,adversarial,
80,0.36277466609220166,0.0,BIM,0.05,3,adversarial,
81,0.6008880118401578,0.0,BIM,0.05,4,adversarial,
82,0.42450879007238884,0.0,BIM,0.05,5,adversarial,
83,0.4166666666666667,0.0,BIM,0.05,6,adversarial,
84,0.45100426049908704,0.0,BIM,0.05,7,adversarial,
85,0.22470238095238096,0.0,BIM,0.05,8,adversarial,
86,0.44166014095536416,0.0,BIM,0.05,9,adversarial,
87,0.4928204640547737,0.0,BIM,0.05,10,adversarial,
88,0.1893238434163701,0.0,BIM,0.1,0,adversarial,
89,0.23400632449525663,0.0,BIM,0.1,1,adversarial,
90,0.23977474807350327,0.0,BIM,0.1,2,adversarial,
91,0.12451529513140888,0.0,BIM,0.1,3,adversarial,
92,0.2540700542673902,0.0,BIM,0.1,4,adversarial,
93,0.13236814891416754,0.0,BIM,0.1,5,adversarial,
94,0.13596491228070176,0.0,BIM,0.1,6,adversarial,
95,0.1789409616555082,0.0,BIM,0.1,7,adversarial,
96,0.04836309523809524,0.0,BIM,0.1,8,adversarial,
97,0.16053249804228661,0.0,BIM,0.1,9,adversarial,
98,0.18438569798402435,0.0,BIM,0.1,10,adversarial,
99,0.0199288256227758,0.0,BIM,0.2,0,adversarial,
