,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.7824561403508772,0.0,FGSM,0.0,0,adversarial,
1,0.9174311926605505,0.0,FGSM,0.0,1,adversarial,
2,0.9075757575757576,0.0,FGSM,0.0,2,adversarial,
3,0.7309523809523809,0.0,FGSM,0.0,3,adversarial,
4,0.8863636363636364,0.0,FGSM,0.0,4,adversarial,
5,0.8135135135135135,0.0,FGSM,0.0,5,adversarial,
6,0.8141025641025641,0.0,FGSM,0.0,6,adversarial,
7,0.7857142857142857,0.0,FGSM,0.0,7,adversarial,
8,0.6680327868852459,0.0,FGSM,0.0,8,adversarial,
9,0.7644628099173554,0.0,FGSM,0.0,9,adversarial,
10,0.83125,0.0,FGSM,0.0,10,adversarial,
11,0.6035087719298246,0.0,FGSM,0.025,0,adversarial,
12,0.8020969855832241,0.0,FGSM,0.025,1,adversarial,
13,0.7318181818181818,0.0,FGSM,0.025,2,adversarial,
14,0.5261904761904762,0.0,FGSM,0.025,3,adversarial,
15,0.7853535353535354,0.0,FGSM,0.025,4,adversarial,
16,0.5621621621621622,0.0,FGSM,0.025,5,adversarial,
17,0.592948717948718,0.0,FGSM,0.025,6,adversarial,
18,0.5844155844155844,0.0,FGSM,0.025,7,adversarial,
19,0.4385245901639344,0.0,FGSM,0.025,8,adversarial,
20,0.5702479338842975,0.0,FGSM,0.025,9,adversarial,
21,0.65425,0.0,FGSM,0.025,10,adversarial,
22,0.42105263157894735,0.0,FGSM,0.05,0,adversarial,
23,0.6422018348623854,0.0,FGSM,0.05,1,adversarial,
24,0.5303030303030303,0.0,FGSM,0.05,2,adversarial,
25,0.33095238095238094,0.0,FGSM,0.05,3,adversarial,
26,0.6515151515151515,0.0,FGSM,0.05,4,adversarial,
27,0.3864864864864865,0.0,FGSM,0.05,5,adversarial,
28,0.375,0.0,FGSM,0.05,6,adversarial,
29,0.37662337662337664,0.0,FGSM,0.05,7,adversarial,
30,0.22950819672131148,0.0,FGSM,0.05,8,adversarial,
31,0.384297520661157,0.0,FGSM,0.05,9,adversarial,
32,0.4705,0.0,FGSM,0.05,10,adversarial,
33,0.3017543859649123,0.0,FGSM,0.07500000000000001,0,adversarial,
34,0.4967234600262123,0.0,FGSM,0.07500000000000001,1,adversarial,
35,0.3878787878787879,0.0,FGSM,0.07500000000000001,2,adversarial,
36,0.21904761904761905,0.0,FGSM,0.07500000000000001,3,adversarial,
37,0.48737373737373735,0.0,FGSM,0.07500000000000001,4,adversarial,
38,0.28378378378378377,0.0,FGSM,0.07500000000000001,5,adversarial,
39,0.26282051282051283,0.0,FGSM,0.07500000000000001,6,adversarial,
40,0.2435064935064935,0.0,FGSM,0.07500000000000001,7,adversarial,
41,0.0942622950819672,0.0,FGSM,0.07500000000000001,8,adversarial,
42,0.24793388429752067,0.0,FGSM,0.07500000000000001,9,adversarial,
43,0.33775,0.0,FGSM,0.07500000000000001,10,adversarial,
44,0.22456140350877193,0.0,FGSM,0.1,0,adversarial,
45,0.3473132372214941,0.0,FGSM,0.1,1,adversarial,
46,0.2924242424242424,0.0,FGSM,0.1,2,adversarial,
47,0.14761904761904762,0.0,FGSM,0.1,3,adversarial,
48,0.3333333333333333,0.0,FGSM,0.1,4,adversarial,
49,0.20540540540540542,0.0,FGSM,0.1,5,adversarial,
50,0.15384615384615385,0.0,FGSM,0.1,6,adversarial,
51,0.17532467532467533,0.0,FGSM,0.1,7,adversarial,
52,0.045081967213114756,0.0,FGSM,0.1,8,adversarial,
53,0.16942148760330578,0.0,FGSM,0.1,9,adversarial,
54,0.2365,0.0,FGSM,0.1,10,adversarial,
55,0.17192982456140352,0.0,FGSM,0.125,0,adversarial,
56,0.254259501965924,0.0,FGSM,0.125,1,adversarial,
