,acc,alpha,attack_method,epsilon,label,smoothing_method,temperature
0,0.8768683274021353,0.0,FGSM,0.0,0,adversarial,
1,0.9314035514473364,0.0,FGSM,0.0,1,adversarial,
2,0.9184943687018375,0.0,FGSM,0.0,2,adversarial,
3,0.8186126669538992,0.0,FGSM,0.0,3,adversarial,
4,0.8889985199802664,0.0,FGSM,0.0,4,adversarial,
5,0.8748707342295761,0.0,FGSM,0.0,5,adversarial,
6,0.8596491228070176,0.0,FGSM,0.0,6,adversarial,
7,0.8940961655508217,0.0,FGSM,0.0,7,adversarial,
8,0.7938988095238095,0.0,FGSM,0.0,8,adversarial,
9,0.8692247454972593,0.0,FGSM,0.0,9,adversarial,
10,0.8830353746671739,0.0,FGSM,0.0,10,adversarial,
11,0.26761565836298934,0.0,FGSM,0.025,0,adversarial,
12,0.4714181464363902,0.0,FGSM,0.025,1,adversarial,
13,0.4582098399525785,0.0,FGSM,0.025,2,adversarial,
14,0.2809133993968117,0.0,FGSM,0.025,3,adversarial,
15,0.3463246176615688,0.0,FGSM,0.025,4,adversarial,
16,0.31747673216132366,0.0,FGSM,0.025,5,adversarial,
17,0.2725563909774436,0.0,FGSM,0.025,6,adversarial,
18,0.33414485696895924,0.0,FGSM,0.025,7,adversarial,
19,0.17857142857142858,0.0,FGSM,0.025,8,adversarial,
20,0.30462020360219266,0.0,FGSM,0.025,9,adversarial,
21,0.3537942183339673,0.0,FGSM,0.025,10,adversarial,
22,0.06975088967971531,0.0,FGSM,0.05,0,adversarial,
23,0.602773047920214,0.0,FGSM,0.05,1,adversarial,
24,0.2009484291641968,0.0,FGSM,0.05,2,adversarial,
25,0.07152089616544594,0.0,FGSM,0.05,3,adversarial,
26,0.06018746916625555,0.0,FGSM,0.05,4,adversarial,
27,0.10031023784901758,0.0,FGSM,0.05,5,adversarial,
28,0.046992481203007516,0.0,FGSM,0.05,6,adversarial,
29,0.044430919050517347,0.0,FGSM,0.05,7,adversarial,
30,0.026041666666666668,0.0,FGSM,0.05,8,adversarial,
31,0.03837118245888802,0.0,FGSM,0.05,9,adversarial,
32,0.18866489159376187,0.0,FGSM,0.05,10,adversarial,
33,0.013523131672597865,0.0,FGSM,0.07500000000000001,0,adversarial,
34,0.8355631233276575,0.0,FGSM,0.07500000000000001,1,adversarial,
35,0.04771784232365145,0.0,FGSM,0.07500000000000001,2,adversarial,
36,0.014648858250753986,0.0,FGSM,0.07500000000000001,3,adversarial,
37,0.0059200789343857915,0.0,FGSM,0.07500000000000001,4,adversarial,
38,0.027404343329886244,0.0,FGSM,0.07500000000000001,5,adversarial,
39,0.003132832080200501,0.0,FGSM,0.07500000000000001,6,adversarial,
40,0.00426049908703591,0.0,FGSM,0.07500000000000001,7,adversarial,
41,0.001488095238095238,0.0,FGSM,0.07500000000000001,8,adversarial,
42,0.004698512137823023,0.0,FGSM,0.07500000000000001,9,adversarial,
43,0.17753898820844427,0.0,FGSM,0.07500000000000001,10,adversarial,
44,0.0007117437722419929,0.0,FGSM,0.1,0,adversarial,
45,0.9073218195086353,0.0,FGSM,0.1,1,adversarial,
46,0.01066982809721399,0.0,FGSM,0.1,2,adversarial,
47,0.002154243860404998,0.0,FGSM,0.1,3,adversarial,
48,0.0,0.0,FGSM,0.1,4,adversarial,
49,0.0062047569803516025,0.0,FGSM,0.1,5,adversarial,
50,0.0012531328320802004,0.0,FGSM,0.1,6,adversarial,
51,0.0,0.0,FGSM,0.1,7,adversarial,
52,0.000744047619047619,0.0,FGSM,0.1,8,adversarial,
53,0.0,0.0,FGSM,0.1,9,adversarial,
54,0.18005895777862305,0.0,FGSM,0.1,10,adversarial,
55,0.0014234875444839859,0.0,FGSM,0.125,0,adversarial,
56,0.9245925565555826,0.0,FGSM,0.125,1,adversarial,
57,0.002963841138114997,0.0,FGSM,0.125,2,adversarial,
58,0.0012925463162429987,0.0,FGSM,0.125,3,adversarial,
59,0.0,0.0,FGSM,0.125,4,adversarial,
60,0.0025853154084798345,0.0,FGSM,0.125,5,adversarial,
61,0.0,0.0,FGSM,0.125,6,adversarial,
62,0.0,0.0,FGSM,0.125,7,adversarial,
63,0.000744047619047619,0.0,FGSM,0.125,8,adversarial,
64,0.0,0.0,FGSM,0.125,9,adversarial,
65,0.18172308862685432,0.0,FGSM,0.125,10,adversarial,
66,0.0,0.0,FGSM,0.15000000000000002,0,adversarial,
67,0.9292143030892727,0.0,FGSM,0.15000000000000002,1,adversarial,
68,0.0002963841138114997,0.0,FGSM,0.15000000000000002,2,adversarial,
69,0.0,0.0,FGSM,0.15000000000000002,3,adversarial,
70,0.0,0.0,FGSM,0.15000000000000002,4,adversarial,
71,0.001034126163391934,0.0,FGSM,0.15000000000000002,5,adversarial,
72,0.0,0.0,FGSM,0.15000000000000002,6,adversarial,
73,0.0,0.0,FGSM,0.15000000000000002,7,adversarial,
74,0.0,0.0,FGSM,0.15000000000000002,8,adversarial,
75,0.0,0.0,FGSM,0.15000000000000002,9,adversarial,
76,0.18177063522251807,0.0,FGSM,0.15000000000000002,10,adversarial,
77,0.0,0.0,FGSM,0.17500000000000002,0,adversarial,
78,0.9301873023595232,0.0,FGSM,0.17500000000000002,1,adversarial,
79,0.0,0.0,FGSM,0.17500000000000002,2,adversarial,
80,0.0,0.0,FGSM,0.17500000000000002,3,adversarial,
81,0.0,0.0,FGSM,0.17500000000000002,4,adversarial,
82,0.0,0.0,FGSM,0.17500000000000002,5,adversarial,
83,0.0,0.0,FGSM,0.17500000000000002,6,adversarial,
84,0.0,0.0,FGSM,0.17500000000000002,7,adversarial,
85,0.0,0.0,FGSM,0.17500000000000002,8,adversarial,
86,0.0,0.0,FGSM,0.17500000000000002,9,adversarial,
87,0.18181818181818182,0.0,FGSM,0.17500000000000002,10,adversarial,
88,0.0,0.0,FGSM,0.2,0,adversarial,
89,0.9311603016297738,0.0,FGSM,0.2,1,adversarial,
90,0.0,0.0,FGSM,0.2,2,adversarial,
91,0.0,0.0,FGSM,0.2,3,adversarial,
92,0.0,0.0,FGSM,0.2,4,adversarial,
93,0.0,0.0,FGSM,0.2,5,adversarial,
94,0.0,0.0,FGSM,0.2,6,adversarial,
95,0.0,0.0,FGSM,0.2,7,adversarial,
96,0.0,0.0,FGSM,0.2,8,adversarial,
97,0.0,0.0,FGSM,0.2,9,adversarial,
